,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
pct_trt_diff,0.2,100,0.03803,0.00683,0.00765,0.00315,0.00884,0.00907,0.0089,0.03965,0.00677,0.00807,0.0029,0.00846,0.00902,,0.04118,0.00686,0.00778,0.003,0.009,0.00921
res_end_prop_avg,0.2,100,,,,,0.05876,0.05888,0.05846,,,,,0.05804,0.0588,,,,,,0.05848,0.05904
ssqr_over_sum,0.2,100,,,,,,0.756733515,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.2,100,,,,,,0.031111901,,,,,,,,,,,,,,
match_corr,0.2,100,,,,,,0.653146648,,,,,,,,,,,,,,
corr_eq_zero_pval,0.2,100,,,,,,5.47E-05,,,,,,,,,,,,,,
pct_only_matches,0.2,100,,,,,,0.333,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.05,200,0.761181372,0.765113774,0.374459012,0.359035472,0.421895257,0.414910972,0.418916597,0.801882646,0.770387333,0.371333853,0.378596511,0.421719165,0.423131747,,0.755376357,0.798095911,0.792698378,0.789114314,0.423465272,0.425860885
avg_max_ks_stat,0.05,200,0.117302966,0.116987004,0.085735598,0.08389899,0.078234127,0.077627888,0.077960306,0.118387121,0.116674056,0.085665204,0.085514973,0.078346336,0.078527302,,0.11680578,0.117588346,0.117844743,0.118564772,0.077677773,0.077380426
avg_beta_T,0.05,200,1.026114667,1.002080387,1.024656514,0.996023734,0.992671814,0.990843774,,0.973161876,0.988181292,0.995969066,1.006635156,0.990347688,0.989268954,,,,,,,
avg_abs_bias,0.05,200,0.439235924,0.462600578,0.317174355,0.312040812,0.314613741,0.222523673,,0.315333205,0.320984525,0.286721509,0.30356958,0.260453774,0.207541129,,,,,,,
std_err_beta_T,0.05,200,0.557507682,0.578890239,0.402972739,0.398781483,0.396084602,0.277045013,,0.393657011,0.398447781,0.35961401,0.383125361,0.323837545,0.25835492,,,,,,,
power,0.05,200,0.433,0.427,0.424,0.383,0.394,0.944,0.943,0.687,0.678,0.73,0.731,0.729,0.966,,0.42,0.447,0.34,0.368,0.748,0.943
