,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
pct_trt_diff,0.075,100,0.03972,0.00681,0.00793,0.00307,0.0143,0.01482,0.01444,0.03942,0.00648,0.00774,0.0029,0.0143,0.01412,0.01487,0.04029,0.00638,0.00782,0.00328,0.01429,0.01464
res_end_prop_avg,0.075,100,,,,,0.14074,0.1418,0.14138,,,,,0.1402,0.1411,0.14136,,,,,0.1416,0.1409
ssqr_over_sum,0.075,100,,,,,,0.745174707,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.075,100,,,,,,0.007298969,,,,,,,,,,,,,,
match_corr,0.075,100,,,,,,0.626534511,,,,,,,,,,,,,,
corr_eq_zero_pval,0.075,100,,,,,,0.001142798,,,,,,,,,,,,,,
pct_only_matches,0.075,100,,,,,,0.005,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.1,100,0.824572585,0.769674461,0.39699317,0.379236853,0.419829165,0.415299918,0.437509718,0.821424209,0.824844438,0.407644479,0.3788312,0.441380809,0.426548728,0.430514771,0.803686603,0.779622269,0.771227646,0.809797406,0.43288438,0.430725811
avg_max_ks_stat,0.1,100,0.168529446,0.159724144,0.1214205,0.119311429,0.115955002,0.116362375,0.117074836,0.166504996,0.167870773,0.121074837,0.120132654,0.118137759,0.116504243,0.117395885,0.165286385,0.164767722,0.163803778,0.163949002,0.116784222,0.116505349
avg_beta_T,0.1,100,1.027957364,1.003516007,1.017304065,1.010777353,0.971057794,1.007797998,,1.003956295,1.003004446,0.989938215,0.979960953,0.987189977,1.006804455,1.020897575,,,,,,
avg_abs_bias,0.1,100,0.565481368,0.560844934,0.441167932,0.435660096,0.407757715,0.314465642,,0.425879954,0.424747278,0.377506921,0.404078653,0.359703184,0.327273096,0.329845533,,,,,,
std_err_beta_T,0.1,100,0.707588001,0.705940911,0.545137393,0.546031875,0.511335161,0.393887703,,0.534024403,0.530035113,0.478915093,0.506852029,0.453521827,0.41184237,0.409091046,,,,,,
power,0.1,100,0.305,0.306,0.26,0.262,0.211,0.717,0.712962963,0.456,0.468,0.459,0.456,0.446,0.737,0.701,0.282,0.3,0.255,0.256,0.507,0.683778234
pct_trt_diff,0.1,100,0.03972,0.00681,0.00793,0.00307,0.01251,0.01313,0.01286,0.03942,0.00648,0.00774,0.0029,0.01271,0.01331,0.01248,0.04029,0.00638,0.00782,0.00328,0.01267,0.0128
res_end_prop_avg,0.1,100,,,,,0.1118,0.11066,0.11146,,,,,0.11338,0.11202,0.11044,,,,,0.11144,0.1113
ssqr_over_sum,0.1,100,,,,,,0.734504061,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.1,100,,,,,,0.016809411,,,,,,,,,,,,,,
match_corr,0.1,100,,,,,,0.625065898,,,,,,,,,,,,,,
corr_eq_zero_pval,0.1,100,,,,,,0.000705687,,,,,,,,,,,,,,
pct_only_matches,0.1,100,,,,,,0.032,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.2,100,0.824572585,0.769674461,0.39699317,0.379236853,0.38347755,0.38532518,0.39987787,0.821424209,0.824844438,0.407644479,0.3788312,0.368661941,0.387505636,0.383023203,0.803686603,0.779622269,0.771227646,0.809797406,0.382830571,0.398463479
avg_max_ks_stat,0.2,100,0.168529446,0.159724144,0.1214205,0.119311429,0.121072935,0.121002744,0.122461809,0.166504996,0.167870773,0.121074837,0.120132654,0.120111036,0.123316721,0.122362042,0.165286385,0.164767722,0.163803778,0.163949002,0.121857617,0.122104993
avg_beta_T,0.2,100,1.027957364,1.003516007,1.017304065,1.010777353,0.988878807,0.992268123,,1.003956295,1.003004446,0.989938215,0.979960953,1.009551747,0.998897153,0.986655508,,,,,,
avg_abs_bias,0.2,100,0.565481368,0.560844934,0.441167932,0.435660096,0.396832629,0.342124845,,0.425879954,0.424747278,0.377506921,0.404078653,0.363683997,0.328596963,0.335725195,,,,,,
std_err_beta_T,0.2,100,0.707588001,0.705940911,0.545137393,0.546031875,0.500580898,0.451045631,,0.534024403,0.530035113,0.478915093,0.506852029,0.449201997,0.419458792,0.423868024,,,,,,
